一级分类,一级分类编码,二级分类,二级分类编码
餐馆,110100,中餐馆,110101
餐馆,110100,异国风味,110102
餐馆,110100,地方风味与名店,110103
快餐,110200,,
休闲餐饮,110300,酒吧,110301
休闲餐饮,110300,冷饮店,110302
休闲餐饮,110300,咖啡馆,110303
休闲餐饮,110300,茶楼,110304
商业性住宿,120100,星级宾馆,120101
商业性住宿,120100,旅馆,120102
商业性住宿,120100,酒店式公寓,120103
商业性住宿,120100,普通出租公寓,120104
居民住宿,120200,小区,120201
居民住宿,120200,住宅楼,120202
综合零售,130100,小商品城,130101
综合零售,130100,百货商城,130102
综合零售,130100,日杂店,130103
综合零售,130100,便利店,130104
综合零售,130100,超市,130105
烟酒副食,130200,面包房,130201
烟酒副食,130200,农贸市场,130202
烟酒副食,130200,茶叶,130203
烟酒副食,130200,香烟,130204
烟酒副食,130200,地方土特产专卖店,130205
烟酒副食,130200,保健品专卖店,130206
烟酒副食,130200,副食专卖店,130207
母婴用品,130300,服装,130301
母婴用品,130300,眼镜店,130302
母婴用品,130300,母婴用品,130303
母婴用品,130300,化妆品专卖店,130304
文化,130400,体育用品店,130401
文化,130400,书店,130402
文化,130400,报刊亭,130403
文化,130400,音像店,130404
文化,130400,钟表照相机专卖店,130405
文化,130400,珠宝首饰店,130406
文化,130400,工艺礼品,130407
文化,130400,古玩字画店,130408
文化,130400,乐器专卖店,130409
文化,130400,玩具店,130410
文化,130400,文化用品店,130411
文化,130400,报社,160201
文化,130400,电台,160202
文化,130400,图书馆,160203
文化,130400,资料馆,160204
文化,130400,博物馆,160205
文化,130400,美术馆,160206
文化,130400,科技馆,160207
文化,130400,文化馆,160208
文化,130400,文工团,160209
医药及医疗器材零售,130500,药店,130501
医药及医疗器材零售,130500,医疗器械,130502
家用电器及电子产品零售,130600,电器零售,130601
家用电器及电子产品零售,130600,电脑专卖店,130602
家用电器及电子产品零售,130600,通信器材,130603
五金,130700,五金,130701
五金,130700,家具,130702
五金,130700,家装建材零售,130703
五金,130700,灯饰,130704
五金,130700,家居用品,130705
其他零售,130800,花卉专卖店,130801
其他零售,130800,宠物及宠物用品专卖店,130802
其他零售,130800,旧货市场,130803
其他零售,130800,自行车,130804
其他零售,130800,丧葬用品,130805
其他零售,130800,宗教用品,130806
其他零售,130800,成人用品零售,130807
汽车及相关产品零售,140100,厂家推荐汽车零售,140101
汽车及相关产品零售,140100,汽车用品,140102
汽车及相关产品零售,140100,汽车零配件零售,140103
汽车维护与保养,140200,厂家推荐汽车修理,140201
汽车维护与保养,140200,机动车检测场,140202
汽车销售及服务,140300,厂家推荐车零售及修理,140301
汽车销售及服务,140300,汽车销售,140302
汽车销售及服务,140300,厂家推荐二手车交易,140303
汽车销售及服务,140300,二手车交易场所,140304
金融服务,150100,代表,150101
金融服务,150100,ATM,150102
金融服务,150100,证券公司,150103
金融服务,150100,典当拍卖,150104
保险业,150200,,
教育,160100,幼儿园,160101
教育,160100,小学,160102
教育,160100,中学,160103
教育,160100,中专,160104
教育,160100,大专院校,160105
教育,160100,教学楼,160106
教育,160100,院,160107
教育,160100,学校报名处,160108
教育,160100,驾校,160109
教育,160100,考试中心,160110
教育,160100,党校,160111
教育,160100,高教园区,160112
医疗机构,170100,综合医院,170101
医疗机构,170100,专科医院,170102
医疗机构,170100,私人诊所,170103
医疗机构,170100,医院内部医疗设施,170104
医疗机构,170100,急诊,170105
医疗机构,170100,社区医疗,170106
医疗机构,170100,牙科诊所,170107
医疗机构,170100,防疫站,170108
医疗机构,170100,体检机构,170109
医疗机构,170100,献血屋,170110
社会保障机构,170200,福利院,170201
运动场馆,180100,羽毛球场,180101
运动场馆,180100,网球场,180102
运动场馆,180100,保龄球馆,180103
运动场馆,180100,滑雪场,180104
运动场馆,180100,高尔夫球场,180105
运动场馆,180100,高尔夫练习场,180106
运动场馆,180100,赛马场,180107
运动场馆,180100,垂钓,180109
运动场馆,180100,溜冰场,180110
运动场馆,180100,游泳馆,180111
休闲娱乐,180200,练歌房,180201
休闲娱乐,180200,夜总会,180202
休闲娱乐,180200,娱乐,180203
休闲娱乐,180200,棋牌室,180204
休闲娱乐,180200,网吧,180205
休闲娱乐,180200,赛马会,180206
休闲娱乐,180200,博彩,180207
休闲娱乐,180200,彩票销售,180208
休闲娱乐,180200,电影院,180209
休闲娱乐,180200,剧场,180210
休闲娱乐,180200,赛狗场,180211
休闲度假,180300,农家乐,180301
休闲度假,180300,度假村,180302
休闲度假,180300,天然浴场,180303
休闲度假,180300,公园,180304
休闲度假,180300,街心公园,180305
休闲度假,180300,广场,180306
休闲度假,180300,游乐园,180307
休闲度假,180300,动物园,180308
休闲度假,180300,植物园,180309
休闲度假,180300,水族馆,180310
风景名胜,180400,观光游览车站点,180401
风景名胜,180400,景区服务点,180402
政府及管理机构,190100,中央人民政府,190101
政府及管理机构,190100,省,190102
政府及管理机构,190100,地级市政府,190103
政府及管理机构,190100,区县政府,190104
政府及管理机构,190100,乡,190111
政府及管理机构,190100,村委会,190106
政府及管理机构,190100,国家级政府机关,190107
政府及管理机构,190100,省级政府机关,190108
政府及管理机构,190100,地级市级政府机关,190109
政府及管理机构,190100,区县级政府机关,190110
政府及管理机构,190100,驻京,190112
政府及管理机构,190100,行政办公大厅,190113
政府及管理机构,190100,边检口岸,190114
公检法机构,190200,公安局,190201
公检法机构,190200,派出所,190202
公检法机构,190200,交警队,190203
公检法机构,190200,消防,190204
公检法机构,190200,法院,190205
公检法机构,190200,检察院,190206
公检法机构,190200,海关,190207
社会团体,190300,协会,190301
社会团体,190300,行业性团体,190302
宗教,190400,寺庙,190401
宗教,190400,天主教,190402
宗教,190400,基督教,190403
宗教,190400,伊斯兰教,190404
其他外国办事机构,190500,外国大使馆,190501
其他外国办事机构,190500,签证处,190502
商业设施,200100,会议中心,200101
商业设施,200100,培训中心,200102
商业设施,200100,大厦,200103
商业设施,200100,商务中心,200104
商业设施,200100,商业综合体,200105
其他租赁服务,200200,汽车租赁,200201
法律,200300,事务所,200301
法律,200300,商务服务,200302
法律,200300,人才市场,200303
法律,200300,旅行社,200304
居家服务,210100,家政服务,210101
居家服务,210100,摩托车,210102
居家服务,210100,家电维修,210103
居家服务,210100,送水站,210104
居家服务,210100,宠物医院,210105
个人服务,210200,洗衣店,210201
个人服务,210200,服装定制,210202
个人服务,210200,皮草,210203
个人服务,210200,美容院,210204
个人服务,210200,美甲,210205
个人服务,210200,洗浴中心,210206
个人服务,210200,婚庆服务,210207
个人服务,210200,火葬场,210208
个人服务,210200,陵园,210209
个人服务,210200,邮局,210210
个人服务,210200,照相,210211
个人服务,210200,公共厕所,210212
个人服务,210200,房产中介,210213
个人服务,210200,办公服务,210214
个人服务,210200,货物自提点,210215
个人服务,210200,婚姻介绍所,210216
票,210300,电信,210301
票,210300,票务中心,210302
票,210300,缴费营业厅,210303
票,210300,风景名胜售票点,210304
其他服务,210400,,
公司,220100,,
厂矿企业,220200,,
工业园,220300,,
其他单位,220400,,
客货运输,230100,火车站,230101
客货运输,230100,火车站出发到达,230102
客货运输,230100,货运火车站,230103
客货运输,230100,客运汽车站,230104
客货运输,230100,地铁站出入口,230105
客货运输,230100,地铁站主点,230106
客货运输,230100,磁悬浮出入口,230107
客货运输,230100,港口,230108
客货运输,230100,机场,230109
客货运输,230100,机场附属设施,230110
客货运输,230100,物流,230111
其他交通设施,230200,桥,230201
其他交通设施,230200,立交桥,230202
其他交通设施,230200,高速出口,230203
其他交通设施,230200,高速入口,230204
其他交通设施,230200,高速服务区,230205
其他交通设施,230200,高速停车区,230206
其他交通设施,230200,收费站,230207
其他交通设施,230200,室内停车场,230208
其他交通设施,230200,地上露天停车场,230209
其他交通设施,230200,公交换乘停车场,230210
其他交通设施,230200,货车停车场,230211
其他交通设施,230200,加油站,230212
其他交通设施,230200,加气站,230213
其他交通设施,230200,加油加气站,230214
其他交通设施,230200,电动汽车充电站,230215
其他交通设施,230200,超限超载检测站,230216
其他交通设施,230200,刹车失灵缓冲区,230217
其他交通设施,230200,刹车冷却区,230218
其他交通设施,230200,占道停车场,230219
其他交通设施,230200,加水站,230220
其他交通设施,230200,紧急停车带,230221
其他交通设施,230200,地上非露天停车场,230222
其他交通设施,230200,地下停车场,230223
其他交通设施,230200,露营房车营地,230224
其他交通设施,230200,普通道路服务区,230225
其他交通设施,230200,环岛名,230226
其他交通设施,230200,隧道,230227
其他交通设施,230200,枢纽,230228
其他交通设施,230200,互通,230229
其他交通设施,230200,道路名,230230
科研机构,240100,,
农林牧渔生产,250100,,
农林牧渔服务,250200,,
行政地名,260100,大洲名,260101
行政地名,260100,国家名,260102
行政地名,260100,首都名,260103
行政地名,260100,省级地名,260104
行政地名,260100,省会名,260105
行政地名,260100,直辖市级地名,260106
行政地名,260100,地级市地名,260107
行政地名,260100,区县级地名,260108
行政地名,260100,乡镇级地名,260109
行政地名,260100,街道级地名,260110
行政地名,260100,行政村,260111
行政地名,260100,自然村,260112
行政地名,260100,村屯级地名,260113
行政地名,260100,村组级地名,260114
行政地名,260100,社区,260115
行政地名,260100,集镇,260116
行政地名,260100,区片名,260117
自然地物,260200,海湾海峡,260201
自然地物,260200,岛屿,260202
自然地物,260200,山,260203
自然地物,260200,河流,260204
自然地物,260200,湖泊,260205
自然地物,260200,山谷,260206
自然地物,260200,河口,260207
自然地物,260200,海岛,260208
自然地物,260200,山洞,260209
自然地物,260200,泉,260210
自然地物,260200,江心洲,260211
门牌信息,260300,地名门牌,260301
门牌信息,260300,道路门牌,260302
门牌信息,260300,小区门牌,260303
门牌信息,260300,居民楼门牌,260304
标志性建筑物,260400,,
人工地物,260500,阁楼,260501
人工地物,260500,井,260502
人工地物,260500,石刻,260503
水利设施,270100,水文测站,270101
水利设施,270100,防洪设施,270102
水利设施,270100,灌溉设施,270103
水利设施,270100,水土保持设施,270104
水利设施,270100,排水设施,270105
水利设施,270100,其他水利附属设施,270106
电力设施,270200,,
测绘设施,270300,,
油气设施,270400,,
通讯设施,270500,,
其他,990000,,
